total,level
94,2
57,2
35,1
17,0
67,2
61,2
78,2
45,1
88,2
84,2
53,2
17,0
24,0
57,2
20,0
6,0
86,2
73,2
9,0
46,1
38,1
80,2
85,2
13,0
75,2
36,1
70,2
35,1
39,1
15,0
40,1
66,2
71,2
11,0
92,2
22,0
57,2
80,2
69,2
28,0
1,0
83,2
73,2
77,2
32,1
16,0
20,0
51,1
24,0
88,2
71,2
93,2
80,2
64,2
68,2
70,2
44,1
35,1
85,2
90,2
80,2
34,1
83,2
90,2
34,1
58,2
66,2
27,0
72,2
90,2
48,1
43,1
86,2
90,2
12,0
2,0
76,2
99,2
83,2
1,0
66,2
10,0
64,2
11,0
84,2
12,0
63,2
77,2
3,0
13,0
0,0
69,2
72,2
2,0
28,0
33,1
77,2
8,0
93,2
41,1
