total,level
92.16,3
57.54,3
31.95,2
16.86,1
66.25,3
61.31,3
76.42,3
41.14,2
86.56,3
83.75,3
51.52,2
17.18,1
22.24,1
57.65,3
17.28,1
4.11,1
86.78,3
71.38,3
4.22,1
46.91,2
36.51,2
77.31,3
83.93,3
11.43,1
71.49,3
36.42,2
66.46,3
31.84,2
36.33,2
11.51,1
37.24,2
66.67,3
72.67,3
11.68,1
93.38,3
24.36,1
57.76,3
77.25,3
67.88,3
24.48,1
0.19,1
83.21,3
72.76,3
77.16,3
31.73,2
17.36,1
17.44,1
51.44,2
25.51,1
88.95,3
73.85,3
93.51,3
77.67,3
63.52,3
67.99,3
67.71,3
41.23,2
32.37,2
84.47,3
88.13,3
78.78,3
32.46,2
84.69,3
89.31,3
32.51,2
57.87,3
68.63,3
25.63,1
73.94,3
90.29,3
46.83,2
42.32,2
90.47,3
90.62,3
12.76,1
0.28,1
78.89,3
99.15,3
85.84,3
1.37,1
68.55,3
5.33,1
64.73,3
12.84,1
85.52,3
12.92,1
64.94,3
80.94,3
1.46,1
13.11,1
1.55,1
69.47,3
75.53,3
1.64,1
26.75,1
32.62,2
80.13,3
6.44,1
94.75,3
42.41,2
27.87,1
27.99,1
28.11,1
46.75,2
37.15,2
28.22,1
33.28,2
13.23,1
46.67,2
33.19,2
17.92,1
13.35,1
14.47,1
52.26,2
47.59,2
43.59,2
47.48,2
47.36,2
47.24,2
28.33,1
2.73,1
19.59,1
28.44,1
43.48,2
44.37,2
48.12,2
38.96,2
44.26,2
33.15,2
15.59,1
52.18,2
44.15,2
2.82,1
19.67,1
48.28,2
38.87,2
48.36,2
48.44,2
38.78,2
28.55,1
48.52,2
6.55,1
33.36,2
38.69,2
33.57,2
3.91,1
39.59,2
49.61,2
69.39,3
58.98,3
50.73,2
53.21,3
19.75,1
50.85,2
90.84,3
15.62,1
70.22,3
6.66,1
7.77,1
44.64,2
34.78,2
28.66,1
8.88,1
34.99,2
50.97,2
70.14,3
50.19,2
80.32,3
39.68,2
80.51,3
19.83,1
34.21,2
29.77,1
40.77,2
9.19,1
95.99,3
45.73,2
15.74,1
34.42,2
45.82,2
60.19,3
34.63,2
9.99,1
10.27,1
53.32,3
35.84,2
10.35,1
29.88,1
45.91,2
30.99,1
40.86,2
70.56,3
35.25,2
35.44,2
20.11,1
50.39,2
55.43,3
35.63,2
20.92,1
40.95,2
